title,year,score_x,rotten_tomatoes_score,imdb_score,runtime,rating,genre,gross,director,actors,decade
Toy Story,1995,100%,10.0,8.3,81.0,G,"['Animation', 'Adventure', 'Comedy']",1048622,['John Lasseter'],"['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney']",1990
Pocahontas,1995,54%,5.4,6.7,81.0,G,"['Animation', 'Adventure', 'Drama']",199592,"['Mike Gabriel', 'Eric Goldberg']","['Mel Gibson', 'Linda Hunt', 'Christian Bale', 'Joe Baker']",1990
The Lion King,1994,93%,9.3,8.5,88.0,G,"['Animation', 'Adventure', 'Drama']",1118724,"['Roger Allers', 'Rob Minkoff']","['Matthew Broderick', 'Jeremy Irons', 'James Earl Jones', 'Whoopi Goldberg']",1990
The Santa Clause,1994,73%,7.3,6.5,97.0,PG,"['Comedy', 'Drama', 'Family']",129644,['John Pasquin'],"['Tim Allen', 'Judge Reinhold', 'Wendy Crewson', 'Eric Lloyd']",1990
Homeward Bound: The Incredible Journey,1993,87%,8.7,6.9,84.0,G,"['Adventure', 'Comedy', 'Drama']",50273,['Duwayne Dunham'],"['Michael J. Fox', 'Sally Field', 'Don Alder', 'Ed Bernard']",1990
Cool Runnings,1993,76%,7.6,7.0,98.0,PG,"['Adventure', 'Comedy', 'Family']",111583,['Jon Turteltaub'],"['John Candy', 'Leon', 'Doug E. Doug', 'Rawle D. Lewis']",1990
Hocus Pocus,1993,40%,4.0,6.9,96.0,PG,"['Comedy', 'Family', 'Fantasy']",154392,['Kenny Ortega'],"['Bette Midler', 'Sarah Jessica Parker', 'Kathy Najimy', 'Omri Katz']",1990
Newsies,1992,39%,3.9,6.9,121.0,PG,"['Drama', 'Family', 'History']",22198,['Kenny Ortega'],"['Christian Bale', 'Bill Pullman', 'Robert Duvall', 'Ann-Margret']",1990
Aladdin,1992,95%,9.5,8.0,90.0,G,"['Animation', 'Adventure', 'Comedy']",455248,"['Ron Clements', 'John Musker']","['Scott Weinger', 'Robin Williams', 'Linda Larkin', 'Jonathan Freeman']",1990
The Muppet Christmas Carol,1992,77%,7.7,7.8,85.0,G,"['Comedy', 'Drama', 'Family']",66825,['Brian Henson'],"['Michael Caine', 'Dave Goelz', 'Steve Whitmire', 'Jerry Nelson']",1990
The Rocketeer,1991,67%,6.7,6.6,108.0,PG,"['Action', 'Adventure', 'Family']",60941,['Joe Johnston'],"['Billy Campbell', 'Jennifer Connelly', 'Alan Arkin', 'Timothy Dalton']",1990
Beauty and the Beast,1991,93%,9.3,8.0,84.0,G,"['Animation', 'Family', 'Fantasy']",473717,"['Gary Trousdale', 'Kirk Wise']","[""Paige O'Hara"", 'Robby Benson', 'Jesse Corti', 'Rex Everhart']",1990
"Honey, I Shrunk the Kids",1989,76%,7.6,6.4,93.0,PG,"['Adventure', 'Comedy', 'Family']",163758,['Joe Johnston'],"['Rick Moranis', 'Matt Frewer', 'Marcia Strassman', 'Kristine Sutherland']",1980
The Little Mermaid,1989,91%,9.1,7.6,83.0,G,"['Animation', 'Adventure', 'Family']",285967,"['Ron Clements', 'John Musker']","['Jodi Benson', 'Samuel E. Wright', 'Rene Auberjonois', 'Christopher Daniel Barnes']",1980
The Great Mouse Detective,1986,76%,7.6,7.1,74.0,G,"['Animation', 'Adventure', 'Family']",53310,"['Ron Clements', 'Burny Mattinson', 'David Michener', 'John Musker']","['Vincent Price', 'Barrie Ingham', 'Val Bettin', 'Susanne Pollatschek']",1980
Flight of the Navigator,1986,84%,8.4,6.9,90.0,PG,"['Adventure', 'Comedy', 'Family']",50978,['Randal Kleiser'],"['Joey Cramer', 'Paul Reubens', 'Cliff De Young', 'Veronica Cartwright']",1980
Tron,1982,73%,7.3,6.7,96.0,PG,"['Action', 'Adventure', 'Sci-Fi']",127485,['Steven Lisberger'],"['Jeff Bridges', 'Bruce Boxleitner', 'David Warner', 'Cindy Morgan']",1980
The Fox and the Hound,1981,75%,7.5,7.2,83.0,G,"['Animation', 'Adventure', 'Drama']",99978,"['Ted Berman', 'Richard Rich', 'Art Stevens', 'David Hand', 'Wolfgang Reitherman']","['Mickey Rooney', 'Kurt Russell', 'Pearl Bailey', 'Jack Albertson']",1980
The Many Adventures of Winnie the Pooh,1977,100%,10.0,7.5,74.0,G,"['Animation', 'Comedy', 'Family']",39058,"['John Lounsbery', 'Wolfgang Reitherman', 'Ben Sharpsteen']","['Sebastian Cabot', 'Junius Matthews', 'Barbara Luddy', 'Howard Morris']",1970
The Rescuers,1977,79%,7.9,6.9,77.0,G,"['Animation', 'Adventure', 'Comedy']",68605,"['John Lounsbery', 'Wolfgang Reitherman', 'Art Stevens']","['Bob Newhart', 'Eva Gabor', 'Geraldine Page', 'Joe Flynn']",1970
Escape to Witch Mountain,1975,73%,7.3,6.3,97.0,G,"['Adventure', 'Family', 'Fantasy']",11150,['John Hough'],"['Eddie Albert', 'Ray Milland', 'Donald Pleasence', 'Kim Richards']",1970
Robin Hood,1973,58%,5.8,7.5,83.0,G,"['Animation', 'Adventure', 'Comedy']",136363,"['Wolfgang Reitherman', 'David Hand']","['Brian Bedford', 'Phil Harris', 'Roger Miller', 'Peter Ustinov']",1970
