title,year,score,actors,director,comparison_score
Swiss Family Robinson,1960,82%,"['John Mills', ' Dorothy McGuire', ' James MacArthur', ' Janet Munro']",['Ken Annakin'],8.2
Sleeping Beauty,1959,89%,"['Mary Costa', ' Bill Shirley', ' Eleanor Audley', ' Verna Felton']",['Clyde Geronimi'],8.9
Old Yeller,1957,100%,"['Dorothy McGuire', ' Fess Parker', ' Tommy Kirk', ' Kevin Corcoran']",['Robert Stevenson'],10.0
Lady and the Tramp,1955,93%,"['Peggy Lee', ' Barbara Luddy', ' Larry Roberts', ' Bill Thompson']","['Clyde Geronimi', ' Wilfred Jackson', ' Hamilton Luske']",9.3
"20,000 Leagues Under the Sea",1954,90%,"['Kirk Douglas', ' James Mason', ' Paul Lukas', ' Peter Lorre']",['Richard Fleischer'],9.0
Peter Pan,1953,77%,"['Bobby Driscoll', ' Kathryn Beaumont', ' Hans Conried', ' Bill Thompson']","['Clyde Geronimi', ' Wilfred Jackson', ' Hamilton Luske']",7.7
Alice in Wonderland,1951,84%,"['Kathryn Beaumont', ' Ed Wynn', ' Richard Haydn', ' Sterling Holloway']","['Clyde Geronimi', ' Wilfred Jackson', ' Hamilton Luske']",8.4
Cinderella,1950,98%,"['Ilene Woods', ' Eleanor Audley', ' Verna Felton', ' Claire Du Brey']","['Clyde Geronimi', ' Wilfred Jackson', ' Hamilton Luske']",9.8
Bambi,1942,91%,"['Hardie Albright', ' Stan Alexander', ' Peter Behn', ' Tim Davis']",['David Hand'],9.1
Dumbo,1941,95%,"['Herman Bing', ' Billy Bletcher', ' Edward Brophy', ' Jim Carmichael']",['Ben Sharpsteen'],9.5
Fantasia,1940,95%,"['Deems Taylor', ' Leopold Stokowski', ' Walt Disney', ' Julietta Novis']","['James Algar', ' Samuel Armstrong', ' Ford Beebe', ' Norman Ferguson']",9.5
Pinocchio,1940,100%,"['Don Brodie', ' Walter Catlett', ' Frankie Darro', ' Cliff Edwards']","['Ben Sharpsteen', ' Hamilton Luske']",10.0
Snow White and the Seven Dwarfs,1937,97%,"['Adriana Caselotti', ' Harry Stockwell', ' Lucille La Verne', ' Moroni Olsen']",['David Hand'],9.7
